id	score	sentence1	sentence2
296	4.905601	The discovery that the MAP bug is present in the vast majority of Crohn's sufferers means it is almost certainly causing the intestinal inflammation, it said in a statement.	The researchers say that the fact the MAP bug is present in the vast majority of Crohns sufferers means it is almost certainly causing the intestinal inflammation.
297	4.663309	The boy is raising his hand.	The man is raising his hand.
298	4.9303837	What are your goals?	What are you goals?
299	4.125599	He is about to run into the boat	The man is getting his boat clean to take it out on the water.
300	4.8324823	The dogs play in the snow on hind legs.	Two dogs play in the snow.
301	3.0884924	A red haired women in black is posing for a man while resting on a tree.	A man in a black shirt is holding a child wearing sunglasses.
302	1.9049606	A man is dancing.	A woman is exercising.
303	4.390447	The American Express Corp. has pledged at least $3 million of more than $5 million needed.	The city had requested federal funds, but withdrew that request when American Express pledged at least $3 million.
304	4.270466	On July 22, Moore announced he would appeal the case directly to the U.S. Supreme Court.	Moore of Alabama says he will appeal his case to the nation's highest court.
305	4.04189	Gillespie sent a letter to CBS President Leslie Moonves asking for a historical review or a disclaimer.	Republican National Committee Chairman Ed Gillespie issued a letter Friday to CBS Television President Leslie Moonves.
306	3.0027363	The man is talking.	A man is walking down stairs.
307	3.7969005	Home office space with bright green walls and artwork.	An office with multiple desks and green walls.
308	4.5807314	A black hooded man is using a large magnifying glass to look at a booklet.	A white hooded woman is using a magnifying glass to look at a booklet.
309	2.9677188	The men played follow the leader on the grass.	The rhino grazed on the grass.
310	3.447045	I don't think that there's any.	I don't think there are any benefits.
311	4.9231825	A brown dog runs towards the camera on a dirt trail with mountains in the background.	A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
312	3.9312878	A black train moves down the tracks.	A long train is on train tracks.
313	4.410282	A young laughing girl and a boy are playing on a big drum.	A baby girl and little boy are standing next to a guitar and a drum.
314	3.032661	This is a problem that the professor has to deal with.	This is a big problem.
315	4.433525	Yes, you should mention your experience.	Yes, you should mention it.
316	4.354349	It depends on what you want to do next, and where you want to do it.	It depends on what and where you are going to do.
317	3.8778877	Canada is a small country, and it needs companies like this, deals like this.	"A passionate nationalist, Mr. D'Alessandro said: ""Canada is a small country, and we need more companies like this."""
318	3.861194	"A promotional poster, complete with countdown dial, reminds readers of the upcoming release of ""Harry Potter and the Order of the Phoenix."""	"The crates are full of hardback copies of ""Harry Potter and the Order of the Phoenix."""
319	4.868345	A yellow car speeds along a snowy field.	A yellow car drives quickly in the snow.
320	4.96052	The dog is running through a field.	A dog runs through a field.
321	4.7718544	Special police detained Khodorkovsky early on Saturday in the Siberian city of Novosibirsk, where his plane had made a refuelling stop.	Police detained Khodorkovsky early on Saturday when his jet made a refueling stop in the Siberian city of Novosibirsk.
322	2.9565299	A little girl in a white blouse and blue pants frolics on the grass.	A woman in a green shirt and white pants golfs on the green.
323	2.8579977	In morning trading, the Dow Jones industrial average was up 40.12, or 0.5 percent, at 8,571.69, having fallen 51 points Monday.	In New York, the Dow Jones industrial average a gauge of 30 blue chip stocks was up 3.29 points or 0.04 per cent to 8,585.97.
324	2.6484454	If you are not sure how to do it, don't do it at all.	You don't, it will not work.
325	3.4381995	It is more deciding what you should do and what you should get others to do.	Point is: know what you want and don't be afraid to ask for it.
326	4.97917	Two dogs are running in the field.	Two dogs running in a field.
327	3.0450284	A black and white cat and dog on a striped couch.	A black and white cat standing in front of a window.
328	2.5549457	A train is moving.	A man is doing yoga.
329	4.6138334	Now, with the agency's last three shuttles grounded in the wake of the Columbia disaster, that wait could be even longer.	With the remaining three shuttles grounded in the wake of the Columbia accident, the rookies will have to wait even longer.
330	2.330369	A person is boiling noodles.	A cat is licking a bottle.
331	4.029994	Two women sitting outside laughing.	Two women standing outside of a bus.
332	4.043456	You should do it.	You should never do it.
333	3.6668587	Some of what you can do:	Not much you can do besides:
334	4.5596046	The # 2 greyhound dog is running around a track.	a muzzled greyhound dog is running around a track
335	4.5100026	The new analysis found that 32 of the 16,608 participants developed ovarian cancer during about 5 years of follow-up.	The new analysis found that 32 of 16,608 participants developed ovarian cancer in about 5 1/2 years of follow-up, including 20 women taking hormones.
336	3.5826764	The benchmark 10-year Treasury note yield <US10YT=RR> dipped below 4.20 percent on Tuesday.	Prices for Treasury securities also rose, with the yield on the benchmark 10-year note falling to 4.19 percent.
337	4.781365	The two dogs are playing in the yard.	Two dogs are playing on the grass.
338	3.904569	The elderly and those with weakened immune systems are also urged to protect against mosquito bites.	But for the elderly and those with weakened immune systems, it can be fatal.
339	4.186815	Four people rowing down a river.	Four people row a canoe in water.
340	4.700576	If your long stay visa for Switzerland is valid, then you will not need a transit visa.	You do not need a transit visa, but to enter Zurich you will need a visa.
341	2.641448	The man is playing the guitar.	The man is peeling a potato.
342	4.409816	Democrats currently hold a 17-15 advantage in the state's congressional delegation.	The Texas congressional delegation now is 17-15 Democratic.
343	4.5731287	I remained under the banyan tree, exhausted by my daily ritual of dragooning the men every two hours. 	I remained under the banyan tree, exhausted by my daily ritual of herding the cats every two hours. 
344	3.986855	Miodrag Zivkovic, of the Liberal Alliance of Montenegro, won 31 percent of the vote while the independent Dragan Hajdukovic got four percent.	Miodrag Zivkovic, the leader of the pro-independence opposition Liberal Alliance, came in second with 31 percent of the vote.
345	4.2040296	The woman in overalls paints a picture for her wall.	A woman is painting her wall white.
346	4.5558887	The Swedish central bank was also meeting on Wednesday and widely expected to announce a cut on Thursday.	The Swedish central bank, also meeting on Wednesday, is widely expected to announce a cut on Thursday of as much as half a percentage point.
347	4.429735	A man and a woman walk with a white dog on a leash.	A man, woman and dog walk down a paved road.
348	2.892787	Yes, there is a reason to not do what you propose.	Valid reasons to feel the way you do, but not a reason to resign.
349	3.7411153	The man is playing the guitar.	The girl is playing the guitar.
350	3.3275673	You just have to base your answer on what you do know, which is what you want.	Th answer to you problem is that you dont actually know what you're getting in .
351	2.2662354	A woman is cracking eggs.	A man is talking to a woman.
352	3.8128738	I think you're looking for Mikey (1992).	I think you're looking for the movie
353	3.352705	The best thing you can do is to know your stuff.	The best thing to do is to overcome the fussiness.
354	4.533426	two cats, one brown and one white laying on a bed with a blue blanket.	Two cats, one ginger, the other white laying on a bed.
355	3.3411336	A woman in a plaid outfit is looking through a bag of produce.	This is the picture of a woman in a flowered dress, toting something in a bucket.
356	4.0923605	"The workers accuse General Dynamics of ""reverse age discrimination"" because of a change in retirement benefits in 1997."	General Dynamics was sued when it changed its retirement benefits in 1997.
357	4.582371	The curious boys look in the shed.	Two small boys in a woody area looking at a shed.
358	3.20219	Two ducks are standing by the water.	The birds are swimming in the water.
359	2.2976613	A woman is slicing ginger.	A person is holding two baby lorises.
360	3.4702106	A woman is wrapping tofu.	A woman is balling dough.
361	3.9727893	A person dices up an orange pepper.	The cook is slicing bell peppers.
362	4.43409	Another was in serious condition at Northwest Medical Center in Springdale.	At Northwest Medical Center of Washington County in Springdale, one child is in serious condition.
363	2.26544	Someone touched the kitten chewing on a string.	Someone is cutting paper.
364	2.8167806	Two men standing in grass staring at a car.	Two women sitting in chairs in a shop.
365	3.9339395	It depends on what you want to do next, and where you want to do it.	It's up to you what you want to do next.
366	4.873076	I don't think it makes any tremendous difference.	I don't think it makes much difference.
367	4.707678	The government did not identify the taikonauts — a term coined from ‘‘taikong,’’ the Chinese word for space — who would travel on the second mission.	The government did not identify the taikonauts -- a term coined from taikong, the Chinese word for space.
368	3.9842105	I did this one time as well.	I have this habit as well.
369	4.228404	a man wearing a gray hat fishing out of a fishing boat.	A man wearing a straw hat and fishing vest in a stream.
370	4.663721	"During the hearing, Morales expressed ""sincere regrets and remorse"" for his actions."	"Morales, who pleaded guilty in July, expressed ""sincere regret and remorse"" for his crimes."
371	3.3199325	A man is playing drums.	A man is playing his guitar.
372	2.8606482	A person is putting shredded cheese in a pot.	A hamster is eating some seeds.
373	3.7992234	The Space Infrared Telescope Facility's mission is to search for the beginnings of the universe.	NASA is scheduled to launch the Space Infrared Telescope Facility on Monday morning.
374	3.72589	It looks to me that this is set up for what you want:	It is up to you whether you want to do that.
375	4.12324	A tan and white dog retrieving a ball on a gravel path.	A large dog walks along a gravel path in the woods.
376	4.3411694	It depends on what you want to do next, and where you want to do it.	It depends on what you want to achieve.
377	2.8465872	A man is playing a guitar.	A man is eating pasta.
378	3.4850214	A person is slicing some onions.	A woman is chopping herbs.
379	3.1143074	A person is slicing an onion.	A person cuts ginger.
380	4.473756	A woman opens a window.	A woman is looking out a window.
381	2.2292242	Someone is folding a piece of paper.	A person is slicing a small pieces of ginger.
382	3.6027029	A dog running across the snow with a snowball in it's mouth.	A tan dog is running through the grass with a yellow toy in its mouth.
383	4.0287137	A car is pulling off the side of the road onto the street.	A silver car parked on the side of the road in front of the hills.
384	4.4387693	A man is picking up a tree.	A man is carrying a tree.
385	4.529273	A woman is dicing some peeled potatoes cut into thick strips.	A woman is chopping a peeled potato into slices.
386	2.8351994	A man is playing a harp.	A man is playing a keyboard.
387	3.8356204	You can do it, too.	Yes, you can do it.
388	4.311287	Two women walk down the sidewalk to the store.	Two women walk down the sidewalk in the afternoon.
389	3.964589	You don't have to worry.	You don't have to do anything to season it.
390	4.0989876	The child's bike got wet.	She is putting away the bike.
391	4.923218	Motorcycle parked next to a car outside.	A motorcycle parked next to a car.
392	2.848966	A man in a blue dress shirt.	A man in a white shirt and blue pants is talking with a woman in a pink shirt.
393	4.134067	We are expending all available resources toward the investigation, said Assistant U.S. Attorney Todd Greenberg, a counterterrorism prosecutor in Seattle.	We are aware of the situation, said Assistant US Attorney Todd Greenberg, a counter-terrorism prosecutor in Seattle.
394	3.9483738	A father napping in a chair with a baby on his lap.	Man with pink shirt sleeping on chair with infant.
395	4.533479	Take a look at these:	Take a look at this: 
396	4.7444324	"Ms Lafferty's lawyer, Thomas Ezzell, told a Kentucky newspaper: ""My understanding of this is that there is a lower percentage of successful impregnations with frozen."	My understanding of this is that there is a lower percentage of successful impregnations with frozen, Ezzell said.
397	4.803609	Two women give a demonstration at a Renaissance Fair.	Two people are doing a demonstration at a renaissance fair.
398	4.689287	Two skiing people are doing cross country skiing.	People skiing cross country.
399	4.7757416	Two people ride their bikes down a dirt road.	Two people riding their bikes on a hill.
400	4.8709717	A moped in front of steps of ruins.	A moped in front of ruins.
401	4.5681257	Rich media doubled its share, increasing from 3% in Q2 2002 to 6% in Q2 2003.	Rich Media interactive ad formats doubled their share from 3% in second quarter of 2002, to 6% in the second quarter of 2003.
402	3.510581	Three children playing in snow.	Three children playing in hay
403	2.9370413	A yellow vested person is doing road work.	A person is doing very well on their skateboard.
404	3.7544358	It depends on what you want to do next, and where you want to do it.	It depends on what you want to say/imply.
405	4.575638	Three men are doing same dance in the street.	Three shirtless men are dancing in the street.
406	3.5484939	From what I understand this is what you can do :	Can you do this?
407	4.7928467	A blue bird standing on a lawn.	Blue bird standing on green grass.
408	4.4993825	a black and white dog jumping in the air to catch a Frisbee	A black and white dog jumping in a yard.
409	4.363997	In the US, it will depend on the school.	This will depend on the university.
410	3.947841	"My answer to your question is ""Probably Not""."	The answer to your question is not really.
411	4.1485744	A girl is talking to her dad on a cellphone.	a girl is talking on her phone.
412	3.3493729	A man is playing piano.	A man is playing a violin.
413	3.7715137	The women are trying to sell something to the individual.	The men are trying to make some money.
414	2.5704875	People making a structure out of cards.	Two people are together and one is using a piece of clothing in a different way than intended.
415	3.7967885	A group of teenagers jumping and having a good time.	A group of kids having a good time.
416	3.9006653	Researchers found the fossils in a semidesert area of Venezuela, about 250 miles west of Caracas.	Phoberomys' skeleton was unearthed 250 miles west of Caracas, Venezuela.
417	4.2677584	if you don't want to derail the meeting, but the key is to speak up.	The key thing you need to do in this meeting is listen.
418	3.6945791	A young man is riding a skateboard and jumps onto a sidewalk then off at another curb.	A man is riding a skateboard.
419	4.138313	"Mr Eddington warned yesterday that the future of the airline was ""in the hands of the negotiators""."	The future of BA is in the hands of the negotiators, Eddington told British Broadcasting Corp. television on Sunday.
420	4.8370876	It probably depends on the cut of meat.	It depends on the meat and how it's cut.
421	4.0083547	This doesn't answer your question, but:	This is a part answer to your question
422	3.791711	Black and white cows grazing in a pen.	Two black and white cows drinking out of a pond.
423	3.641186	I am not sure this is the right site for the question.	I am not sure this question would have made much sense to the Romans themselves.
424	4.7156324	It's not a good idea.	Not a good idea.
425	4.3849854	Three men sit on a bench.	two men sit on a bench.
426	4.8846383	people getting their dirty clothes cleaned	People are getting their clothes cleaned.
427	3.584421	Q: Can I buy coverage for prescription drugs right away?	Congress has added a new benefit - an option to buy insurance coverage for prescription drugs.
428	4.048874	Shares of Corixa fell 12 cents to $6.88 on the Nasdaq stock market.	Corixa's stock barely flinched on the news, dipping 12 cents to close at $6.88.
429	2.9499192	A man is cycling.	A man is talking.
430	2.4932485	A cat is playing on the floor.	A man is slicing garlic.
431	2.0682015	A man is doing exercise.	A baby is laughing.
432	4.5853386	A group of people are sitting at at a beach on towels watching the Blue Angels.	A group of people are sitting at a beach watching the Blue Angels.
433	3.4742856	A kitten is drinking milk from a bowl.	A small child is drinking water from a cup.
434	4.735526	You answered your own question.	You've answered your own question already.
435	4.0981903	A man is playing a guitar.	A man is playing a guitar and singing.
436	4.405296	There are a few things you can do: 	There are a few things you need to consider:
437	4.6777005	People are dancing outside.	A group of people are dancing.
438	2.6355517	A man is dragging a dead deer.	A man is jumping into water from a cliff.
439	4.2474747	Four versions of Windows operating systems are targeted: Windows NT, Windows 2000, Windows XP and Windows Server 2003.	The new worm affects these Windows systems: 2000, XP, NT 4.0 and Server 2003.
440	3.0661945	Results from No. 2 U.S. soft drink maker PepsiCo Inc. (nyse: PEP - news - people) were likely to be in the spotlight.	Wall Street was also waiting for aluminum maker Alcoa Inc. (nyse: PEP - news - people) to report earnings after the close.
441	4.06908	I think there isn't a general answer.	I don't think there is an answer for this.
442	4.362587	A boy is very close to a girl.	A girl is close to a boy whose face is not shown.
443	4.2673073	She was taken by ambulance to Charing Cross Hospital in Hammersmith.	She was taken to Charing Cross Hospital, where she remained critically ill last night.
444	3.4710302	The Nasdaq Composite Index rose 19.67, or 1.3 percent, to 1523.71, its highest since June 18.	The S&P 500 had climbed 16 percent since its March low and yesterday closed at its highest since Dec. 2.
445	4.3329697	McGill also detailed the hole that had been cut in the Caprice's trunk.	McGill also said a dark glove was stuffed into a hole that had been cut in the Caprice's trunk.
446	2.7234802	The road is long.	There is nothing on the side of the road.
447	3.6258574	Lawtey is not the first faith-based program in Florida's prison system.	But Lawtey is the first entire prison to take that path.
448	3.0813541	You need to read a lot to know what you like and what you don't.	You should tell a good story and sometimes you have to tweak reality/history to do so.
449	4.6152263	A pile of used wooden building materials with a chair on top.	Pile of wooden debris with chair on top.
450	2.3345182	It depends on what you want to do next, and where you want to do it.	They can, but the way to do it depends on what you have available.
451	4.8544626	A Philips flat-screen TV is shown with its two remote controls.	A Phillips flat screen TV with two remote controls.
452	3.2666388	You just have to base your answer on what you do know, which is what you want.	It depends on what you want to do next, and where you want to do it.
453	2.451941	A group of teenagers in red shirts are smiling.	A group of people are wearing orange shirts.
454	3.7997723	If you are not sure how to do it, don't do it at all.	If not, don't do that and spend that time with something you like to do.
455	3.922967	Knox County Health Department is following national Centers for Disease Control and Prevention Protocol to contain infection.	The health department spokesperson added the department is following Centers for Disease Control protocol.
456	4.0898457	A black dog looking at the camera.	The black and white bull is looking at the camera.
457	3.7090871	2 Cows are in a field.	Two sheep are in a field.
458	3.4776595	A man is hitting a boy with flower vase.	A man is cutting a mat.
459	4.243	A dog is running through a pond	A pale dog is running along a dirt path.
460	4.443183	Someone is slicing an onion.	A woman is cutting onion.
461	2.9692178	A moped in front of ruins.	White bus parked in grass in front of building.
462	3.1001754	Black bird standing on concrete.	Blue bird standing on green grass.
463	3.1714952	You should do it.	You should prime it first.
464	4.107746	The answer to this and all such similar questions is in two stages:	The answer to both questions is: Yes.
465	3.0479827	A black and white cow looking through the fence.	A black and white dog looking at the camera.
466	4.5745277	Trading in Loral was halted yesterday; the shares closed on Monday at $3.01.	The New York Stock Exchange suspended trading yesterday in Loral, which closed at $3.01 Friday.
467	4.737672	A dog is barking at a toy.	The little dog barked at the electronic toy.
468	4.762325	A man is cutting a potato.	A man is slicing some potato.
469	3.136366	You just have to base your answer on what you do know, which is what you want.	They can, but the way to do it depends on what you have available.
470	3.602583	A man is playing a guitar.	A man is playing a trumpet.
471	3.588754	A black and white photo of a love seat.	Black and white photo of couch with purse at one end.
472	4.0347934	You don't have to know.	You have no need to do anything.
473	3.8792462	A man in a black suit is surfing along a crashing wave.	A surfer wearing a black wet suit is riding a a white wave in the ocean.
474	4.4254675	A child is waking up.	A girl is waking up.
475	4.160525	Well, I wouldn't put it on my cv.	I wouldn't put this job on my resume.
476	3.867488	Two dogs playing in snow.	Two dogs playing in grass.
477	4.4420595	A cat gets stuck on a moving ceiling fan.	A cat is swinging on a fan.
478	4.92671	A man running on a track.	a man running track
479	3.274167	What kind of insulation is it?	What kind of floors are above?
480	3.6926818	A woman is digging in the sand.	A man is buried in the sand.
481	3.8563137	Someone is playing a piano.	Someone is playing guitar.
482	4.8324785	A blonde haired toddler swinging on a tire swing.	A blonde haired child is swinging on a tire swing.
483	3.2983568	Analysts expected earnings of 27 cents a share on revenue of $17.7 billion, Thomson First Call says.	Hewlett-Packard is putting in for a second-quarter profit of $659 million, or 29 cents a share, on revenue of $18 billion.
484	2.6131716	You PROBABLY don't have any chance at the moment.	"Saying ""thanks, I don't have any questions at the moment."""
485	2.6221023	A woman is spreading mustard on a bread roll.	A kitten is playing with a woman's finger.
486	4.234764	Red and white bus driving down road.	A bus drives down a busy road.
487	3.9602346	A man is cutting a pipe with scissors.	A man is cutting carpet with a knife.
488	3.9450002	The panda bear lay on the logs.	A panda is lying down.
489	2.90731	A man is spitting.	A man is talking.
490	3.2451086	A small camouflaged airplane parked in the grass.	A small dog wearing a pink shirt tied to a railing.
491	3.6465666	Swimmers are racing in a lake.	Women swimmers are diving in from the starting platform.
492	4.308929	Two workers are sitting next to pipes eating lunch	The construction workers are sitting down to eat lunch.
493	4.631216	A man is slicing open a fish.	A man is cutting up a fish.
494	4.6367087	Child holding an object that is on fire.	A child in pink holds an object that appears to be on fire.
495	4.245964	I'd say it primarily depends on two things:	I'd say it depends what conditions you have.
496	2.936591	A woman is taking a bath.	A woman is riding a horse.
497	4.576697	It''s absurd, Funny Cide's trainer Barclay Tagg said.	"Meanwhile, Funny Cide's trainer, Barclay Tagg, called the allegations ""ridiculous."""
498	3.482942	On Monday, the Dow declined 5.25, or 0.1 percent, at 8,983.80, having shed 2.3 percent last week.	In early trading, the Dow Jones industrial average was down 39.94, or 0.4 percent, at 8,945.50, having slipped 3.61 points Monday.
499	2.6776373	You don't have to know.	You don't have equipments/facilities to do research in B.
500	4.608453	A man is kicking a soccer ball.	A man is performing tricks with a soccer ball.
501	3.7322974	A man is playing a football.	A man is maneuvering a soccer ball with his feet.
502	4.65464	A woman is dancing in the rain.	A woman dances in the rain out side.
503	4.478998	I have the same thing.	I have the exact same problem.
504	3.5362961	A man is dancing.	A man is thinking.
505	4.168544	It is impossible to answer this question without a form check.	It is difficult, if not impossible, to give a complete answer to this question.
506	3.825111	A pitcher on a mound throws a baseball.	A boy in the middle of a pitch at a baseball game.
507	4.847517	A kid sits on a soccer ball outside.	A kid sitting on a soccer ball at the park.
508	4.4139304	"It is a national concern that will touch virtually every American,"" Abraham said."	"The impact of natural-gas shortages ""will touch virtually every American,"" Energy Secretary Spencer Abraham warned yesterday."
509	4.4965763	"The agency will ""consider as timely any tax returns or payments due"" Aug. 15 if they are submitted by Aug. 22."	The agency said it would consider as timely any tax returns or payments due from Friday through Aug. 22 if they are completed by Aug. 22.
510	3.8575025	Tony's not feeling well, Spurs coach Gregg Popovich said.	We're thrilled to be up 3-2,'' Coach Gregg Popovich said Wednesday.
511	4.9031215	Last year, Cuban officials said none of nearly two dozen nominated Cuban musicians received U.S. visas on time to attend the Grammys in Los Angeles.	Cuban officials said that last year none of about two dozen nominated Cuban musicians received U.S. visas in time to attend the Latin Grammys.
512	4.37158	A harnessed dog leaps over a log as another dog follows behind.	A brown and white dog is leaping over a log in a field while another dog follows behind it.
513	4.3197126	She was the only woman in her unit and a member of Teamsters Local 995.	She was the only woman employed as a warehouse worker and heavy equipment operator and the only woman in her Teamsters local.
514	4.8700275	Hormone replacement therapy that combines estrogen and progestin doubles a woman's risk of breast cancer, a British study of more than a million women has found.	A major British study has added to the evidence that hormone replacement therapy increases the risk of breast cancer, especially when women receive a combination of estrogen and progestin.
515	2.7229717	A woman in a blue bathing suit is jumping off a dock into a lake.	a boy in a blue shirt and blue jeans runs across a playground
516	2.5393133	A man in a suit dances with a young girl in front of an audience.	A women dangles from a blue fabric connected to a tree.
517	4.2965393	A brown dog is running through the field.	a brown dog with his tongue wagging as he runs through a field
518	4.510093	I have the same thing.	I have the same problem.
519	4.512368	"According to SunnComm's Peter Jacobs, ""MediaMax performs exactly as 'advertised' to the companies who purchased it."	"MediaMax performs EXACTLY as advertised"" to the companies who purchased it,"" Jacobs said in the statement."
520	3.4563346	To give this an answer:	I'll answer this question:
521	4.805988	A man wearing black formal wear & a black top hat is riding a white show horse.	A man with a top hat riding a white horse.
522	2.3283002	A man and woman are posing for the camera.	A cat sitting on sand looking up at the camera.
523	4.912506	Some guy sitting on a couch watching television.	A guy is sitting on the couch watching TV
524	3.5598657	You are on the right path.	You are right on the mark.
525	2.7923098	Black and white photo of a girl on a sofa.	a black and white photo of a cow under a tree.
526	3.328284	There are a few things I think you should do.	There are a few minimally-effective things you can do at the personal level.
527	4.229723	I had the same problem as you.	I have just had the same problem.
528	4.6514645	A man and a woman is kissing each other.	A man and a woman are hugging and kissing each other.
529	4.1918664	A woman is riding a horse.	A man rides a horse.
530	3.2866511	Primer/paint will not work.	Nope that will not work.
531	2.563484	A boat sails along the water.	The man is playing the guitar.
532	4.753447	This is a terrible idea.	This is a bad idea.
533	3.8189774	A person is on a baseball team.	A person is playing basketball on a team.
534	3.577442	He also reaffirmed his wish to resolve the North Korean nuclear crisis peacefully.	But the North Korean nuclear crisis has dominated his time in office.
535	4.6514664	I think it's fine to ask this question.	I think it is okay to ask the question.
536	4.3581314	A young Asian girl is applying eyeliner.	A girl is putting on eye makeup.
537	4.653745	There are two things to consider:	I think there are two important things to consider:
538	4.2771063	Sayliyah was the command base for the Iraq war, but Central Command sent hundreds who ran the war back home to Tampa, Florida.	As Sayliyah was the command base for the Iraq war, but hundreds who ran the war have returned to the United States.
539	4.434785	A man is sitting and smoking.	A man is smoking a cigarette.
540	4.6724277	A man is doing trick with play cards.	A man is performing a card trick.
541	2.373879	A man is playing the drums.	A woman is slicing some leaves.
542	3.9145505	A shirtless woman is operating a lawn mower.	A girl is mowing the grass with a lawn mower.
543	3.4034543	This is a great one... 	This is a difficult one.
544	3.8888197	Have you tried asking your employees?	Have you tried asking?
545	4.2503366	In the year-ago period, Pearson posted a 26 million pre-tax profit.	A year ago the firm posted a profit of 26 million pounds.
546	2.7728631	The flock of sheep are spread out in the field.	A white cat stands on the floor.
547	4.1690884	Three children wrestle on a floral carpet.	Three children playing on the floor.
548	4.6827297	The transaction will grant Handspring stockholders 0.09 of a share of Palm--and no shares of PalmSource--for each share of Handspring common stock.	Under the proposed terms of the transaction, and following the spinoff of PalmSource, Palm will exchange 0.09 shares for each share of Handspring.
549	3.6973498	A young boy with his hair standing up, is sliding down a blue slide	The kid in the orange shirt is sliding down a teal slide.
550	4.4368095	Zombies parading around eating brains.	The zombies are eating flesh together.
551	4.050932	The Cradle of Liberty Council isn't the first one to buck the national group's stance.	Philadelphia's council is not the first to defy the national policy.
552	4.3120184	An elderly man works on his laptop at home.	Older gentleman sitting on couch with laptop.
553	3.657255	Problem is, the system doesn't account for people who could care less about money, or title.	The Joker doesn't care about money.
554	4.9964466	A brown dog is jumping.	A brown dog is jumping
555	1.9012315	A woman is swimming underwater.	A man is slicing some carrots.
556	4.927042	A group of horses grazing in a field.	Group of horses grazing in grassy field.
557	4.3421345	A dog sniffing the bottom of a door.	A black and white dog sniffing at a closed door.
558	2.9185665	You need to add this to your resume because it is the only position you have had.	This gives you the opportunity to make your case that you really do have expertise in XXX.
559	4.0628057	A group of people are wearing police uniforms conducting an arrest.	A group of police officers are wearing protection.
560	4.481509	"So was Edie Falco, the critically praised co-star of ""Frankie and Johnny."""	"Edie Falco was not nominated for ""Frankie and Johnny."""
561	4.947667	In that case, the court held that Cincinnati had violated the First Amendment in banning only the advertising pamphlets in the interest of aesthetics.	In that case, the court held that the city of Cincinnati had violated the First Amendment in banning, in the interest of aesthetics, only the advertising pamphlets.
562	4.653509	The single currency rose as far as 135.13 yen , matching a record high hit shortly after the euro's launch in January 1999.	The single currency rose as far as 135.26 yen , its highest level since the introduction of the single currency in January 1999.
563	4.3758154	But in the first 30 seconds after Young entered the ring, the family knew it was an uneven match, Meyers said.	But in the first 30 seconds of the bout, family members knew it was an uneven match, Jodie Meyers, Stacy Young's sister, said.
564	3.3853555	A woman is water skiing.	A woman is slicing fish.
565	4.17726	You don't have to worry.	Since you have one ticket, you don't have to worry.
566	3.1656146	A man is slicing an onion.	A woman is slicing a pumpkin.
567	3.4285774	Yes, there is a reason to not do what you propose.	Yes, there is a chemical difference.
568	4.8349667	You answered your own question.	You have answered your own question.
569	4.8606915	Two motorbikes racing on a dirt course.	two motorbikes on a dirt track.
570	3.8282287	You should just ask your boss what he wants you to do.	You should listen to your boss, because you're not paid to tell the boss what to do.
571	3.6333747	Now you don't have to be perfect on every answer.	You don't have to know.
572	2.7232552	Yes it is common!	The simple answer is yes!
573	4.4594555	A  man is dancing.	A man and woman is dancing.
574	4.3984675	You don't need to know everything.	You don't have to know.
575	3.5510592	We believe the report is fully consistent with what the courts have ruled ... that the department's actions are fully within the law.	Comstock said several federal courts have ruled that the detentions are fully within the law.
576	3.076499	There is no maximum.	There is no quarantine period.
577	3.1915321	The woman is wearing yellow.	The woman is wearing red.
578	2.5870934	A person is peeling a potato with a potato peeler.	A man is cutting tomatoes with a cleaver.
579	4.3038435	Downstream at Mount Vernon, the Skagit River was expected to crest at 36 feet -- 8 feet above flood stage -- tonight, Burke said.	The Skagit was expected to crest during the night at 38 feet at Mount Vernon, 10 feet above flood stage, the National Weather Service said.
580	4.7054844	Schofield got Toepfer to admit on cross-examination that she ignored many of O'Donnell's suggestions and projects.	But under cross-examination by O'Donnell's attorney, Lorna Schofield, Toepfer conceded she had ignored many of O'Donnell's suggestions and projects.
581	4.253126	The two boys are playing kick ball back and forth to each other.	The players are kicking each other while attempting to kick the ball.
582	2.217402	A man is doing exercise.	A man is firing a rifle.
583	4.4327726	It's not a good idea.	I do not think it's a good idea.
584	3.849483	Two dogs play in the grass.	Two dogs playing in the snow.
585	4.7278185	The next court session will be when the three-judge tribunal announces its verdict in mid-February.	The court's three-judge tribunal was expected to give its verdict next February.
586	3.8090563	Yes, there is a reason for it.	Yes, that is exactly what it means.
587	2.8376193	A person filming the outdoors.	There is a couple outdoors.
588	1.9465548	A boy in red jumping into a sandbox.	A dog swimming in a pond
589	3.64727	A man is playing his guitar at Joe's Cafe.	The man is playing the drums for his mom.
590	4.140388	These despicable acts were committed by killers whose only faith is hate, Bush said, adding that the United States will find the killers.	These despicable acts were committed by killers whose only faith is hate and the United States will find the killers and they will learn the meaning of American justice.
591	4.0822415	Local police authorities are treating the explosion as a criminal matter and nothing has been ruled out.	Acting New Haven Police Chief Francisco Ortiz said police were treating the explosion as a criminal matter.
592	4.733724	It depends entirely on your company and your contract.	It depends on your company.
593	4.7569704	It makes absolutely NO difference.	No, it makes no difference.
594	3.7633991	A man in a brown coat rubs his nose.	A bald man with a red beard holds his hand near his mouth.
595	4.3639116	Woman playing tennis and hitting the ball.	A woman is playing volley ball.
596	3.8788617	A person is drawing on a large touchscreen.	A man is drawing on a digital dry erase board.
